inquiry_type,project_type,service_needed,budget_range,project_timeline,city,preferred_contact,message_length,lead_score
Product Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-3 Months,Hyderabad,Email,159,0
Dealership Inquiry,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Kochi,Email,79,0
General Feedback,Industrial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Hyderabad,Email,88,1
Bulk Order Inquiry,Commercial,Interior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Coimbatore,Phone,68,1
Other,Residential,Special Effects & Textures,"Below ₹10,000",1-3 Months,Coimbatore,Email,348,0
Technical Support,Commercial,Commercial Services,"Below ₹10,000",1-4 Weeks,Delhi,Email,116,0
Product Inquiry,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Trivandrum,Email,268,0
Product Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,WhatsApp,107,0
Bulk Order Inquiry,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Email,244,0
General Feedback,Residential,Commercial Services,"Below ₹10,000",1-4 Weeks,Madurai,WhatsApp,332,0
Dealership Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,Email,260,0
Product Inquiry,Commercial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,WhatsApp,137,0
Product Inquiry,Industrial,Professional Painting,"₹10,000 - ₹50,000",3+ Months,Kochi,Email,266,0
Other,Industrial,Maintenance Program,"₹10,000 - ₹50,000",1-3 Months,Bengaluru,Email,119,0
Bulk Order Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Pune,WhatsApp,115,0
Bulk Order Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,Email,209,0
Product Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,WhatsApp,287,0
Dealership Inquiry,Residential,Interior Solutions,"Below ₹10,000",1-3 Months,Mumbai,Email,309,0
Product Inquiry,Commercial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Chennai,Email,67,1
Technical Support,Residential,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Hyderabad,WhatsApp,224,0
Technical Support,Commercial,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Madurai,WhatsApp,90,1
Product Inquiry,Industrial,Color Consultation,"Below ₹10,000",3+ Months,Chennai,Email,327,0
Other,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Pune,Phone,120,0
Dealership Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",3+ Months,Chennai,WhatsApp,296,0
Product Inquiry,Industrial,Interior Solutions,"₹10,000 - ₹50,000",3+ Months,Delhi,Email,55,0
Technical Support,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Madurai,WhatsApp,235,0
Dealership Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",1-3 Months,Pune,Phone,258,1
Dealership Inquiry,Industrial,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Delhi,Email,317,1
Technical Support,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,WhatsApp,109,0
Other,Industrial,Special Effects & Textures,"Above ₹10,00,000",1-4 Weeks,Bengaluru,Email,325,1
Technical Support,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Hyderabad,Phone,203,1
Bulk Order Inquiry,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-3 Months,Delhi,Email,180,1
Product Inquiry,Industrial,Commercial Services,"Below ₹10,000",3+ Months,Madurai,Email,176,0
Dealership Inquiry,Industrial,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Kochi,Email,80,1
Dealership Inquiry,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",1-3 Months,Coimbatore,Phone,231,0
General Feedback,Residential,Interior Solutions,"Below ₹10,000",1-4 Weeks,Coimbatore,Email,249,0
Bulk Order Inquiry,Residential,Exterior Solutions,"Above ₹10,00,000",1-3 Months,Madurai,Phone,73,1
Dealership Inquiry,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",3+ Months,Chennai,WhatsApp,258,1
Bulk Order Inquiry,Industrial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,WhatsApp,332,0
Bulk Order Inquiry,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,Email,271,1
Dealership Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",1-3 Months,Chennai,Email,325,0
Product Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,Phone,186,0
Dealership Inquiry,Commercial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Kochi,Email,112,0
Bulk Order Inquiry,Residential,Exterior Solutions,"Below ₹10,000",1-3 Months,Coimbatore,Phone,319,0
General Feedback,Commercial,Color Consultation,"Below ₹10,000",1-3 Months,Hyderabad,Phone,143,0
Dealership Inquiry,Residential,Color Consultation,"Above ₹10,00,000",1-3 Months,Kochi,WhatsApp,103,1
Technical Support,Industrial,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,WhatsApp,301,0
Technical Support,Industrial,Maintenance Program,"₹2,00,000 - ₹10,00,000",3+ Months,Mumbai,Email,329,1
Bulk Order Inquiry,Commercial,Interior Solutions,"Below ₹10,000",1-3 Months,Kochi,Phone,254,0
Dealership Inquiry,Residential,Commercial Services,"Below ₹10,000",Urgent (Within 1 Week),Hyderabad,Email,143,1
General Feedback,Industrial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Delhi,Email,42,1
Dealership Inquiry,Industrial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,80,0
Bulk Order Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Mumbai,Email,146,0
Dealership Inquiry,Industrial,Interior Solutions,"Below ₹10,000",3+ Months,Pune,Email,335,0
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Madurai,WhatsApp,185,0
Bulk Order Inquiry,Commercial,Color Consultation,"Below ₹10,000",1-4 Weeks,Bengaluru,Phone,336,0
Technical Support,Industrial,Color Consultation,"₹2,00,000 - ₹10,00,000",1-3 Months,Hyderabad,Phone,258,1
Product Inquiry,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Delhi,WhatsApp,309,0
Product Inquiry,Residential,Exterior Solutions,"Below ₹10,000",1-3 Months,Madurai,WhatsApp,310,0
Product Inquiry,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Pune,Email,309,0
Dealership Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-3 Months,Mumbai,WhatsApp,294,0
Product Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Bengaluru,WhatsApp,100,0
Bulk Order Inquiry,Residential,Interior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Pune,WhatsApp,251,1
Bulk Order Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-3 Months,Bengaluru,Phone,184,0
Technical Support,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Phone,98,0
Bulk Order Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Pune,WhatsApp,129,1
General Feedback,Commercial,Professional Painting,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Kochi,WhatsApp,109,0
Bulk Order Inquiry,Industrial,Interior Solutions,"₹10,000 - ₹50,000",1-3 Months,Madurai,WhatsApp,68,0
Dealership Inquiry,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Pune,Email,335,1
Other,Industrial,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Mumbai,WhatsApp,232,1
Dealership Inquiry,Industrial,Maintenance Program,"Below ₹10,000",Urgent (Within 1 Week),Pune,WhatsApp,197,1
Product Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,Email,161,0
Dealership Inquiry,Residential,Color Consultation,"Below ₹10,000",1-4 Weeks,Kochi,WhatsApp,59,0
Product Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,Phone,137,0
Bulk Order Inquiry,Industrial,Professional Painting,"Below ₹10,000",3+ Months,Delhi,WhatsApp,304,0
Product Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",3+ Months,Chennai,WhatsApp,99,0
Bulk Order Inquiry,Residential,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,Email,63,1
Dealership Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",3+ Months,Hyderabad,Phone,204,0
Dealership Inquiry,Residential,Professional Painting,"₹2,00,000 - ₹10,00,000",1-3 Months,Hyderabad,Email,179,1
Product Inquiry,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Trivandrum,Phone,145,0
Product Inquiry,Residential,Professional Painting,"Above ₹10,00,000",1-3 Months,Bengaluru,Phone,333,1
Dealership Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,106,0
Technical Support,Industrial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Kochi,WhatsApp,345,0
Technical Support,Residential,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Kochi,WhatsApp,313,0
Product Inquiry,Residential,Exterior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Hyderabad,WhatsApp,279,1
Dealership Inquiry,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Madurai,Phone,154,1
Other,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Kochi,Email,209,0
Product Inquiry,Commercial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Pune,WhatsApp,127,0
Dealership Inquiry,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,Phone,94,0
Dealership Inquiry,Industrial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Phone,164,0
Product Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",1-3 Months,Pune,WhatsApp,260,0
Dealership Inquiry,Commercial,Color Consultation,"Below ₹10,000",1-3 Months,Madurai,WhatsApp,333,0
General Feedback,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Bengaluru,WhatsApp,130,0
Product Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Chennai,Email,234,1
Product Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-3 Months,Mumbai,Phone,40,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Pune,Phone,140,0
Dealership Inquiry,Industrial,Interior Solutions,"Above ₹10,00,000",1-4 Weeks,Bengaluru,WhatsApp,262,1
Product Inquiry,Commercial,Color Consultation,"Above ₹10,00,000",1-4 Weeks,Pune,WhatsApp,105,1
Other,Residential,Maintenance Program,"Below ₹10,000",1-3 Months,Hyderabad,Email,223,0
Product Inquiry,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,Phone,202,0
General Feedback,Residential,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Coimbatore,Phone,111,0
Bulk Order Inquiry,Residential,Color Consultation,"Below ₹10,000",3+ Months,Bengaluru,WhatsApp,104,0
Product Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,WhatsApp,263,0
Bulk Order Inquiry,Commercial,Commercial Services,"₹2,00,000 - ₹10,00,000",3+ Months,Mumbai,Phone,349,1
Dealership Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,WhatsApp,221,0
Product Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Trivandrum,WhatsApp,296,0
Technical Support,Residential,Commercial Services,"Above ₹10,00,000",1-3 Months,Kochi,WhatsApp,228,1
Product Inquiry,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,WhatsApp,183,0
Bulk Order Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Trivandrum,WhatsApp,79,0
Technical Support,Commercial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Trivandrum,Phone,45,0
Dealership Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,WhatsApp,190,0
Other,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Kochi,WhatsApp,328,0
Product Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",3+ Months,Bengaluru,Email,53,0
Dealership Inquiry,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,Phone,107,1
Product Inquiry,Industrial,Professional Painting,"Below ₹10,000",Urgent (Within 1 Week),Kochi,Phone,342,0
Bulk Order Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-3 Months,Trivandrum,Email,288,0
Technical Support,Commercial,Maintenance Program,"Below ₹10,000",Urgent (Within 1 Week),Coimbatore,Phone,118,0
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Pune,Email,147,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Kochi,Phone,125,2
General Feedback,Commercial,Special Effects & Textures,"Above ₹10,00,000",3+ Months,Coimbatore,Phone,159,1
Product Inquiry,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Pune,WhatsApp,187,0
Dealership Inquiry,Commercial,Commercial Services,"Below ₹10,000",3+ Months,Hyderabad,Phone,221,0
Product Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Delhi,WhatsApp,339,1
Dealership Inquiry,Commercial,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,WhatsApp,132,1
Product Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Kochi,Phone,308,0
Product Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Chennai,WhatsApp,52,0
Dealership Inquiry,Industrial,Color Consultation,"₹2,00,000 - ₹10,00,000",3+ Months,Bengaluru,WhatsApp,102,1
Product Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",3+ Months,Mumbai,Phone,329,0
Product Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Coimbatore,WhatsApp,272,0
Other,Residential,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,Phone,122,1
Technical Support,Residential,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Bengaluru,Phone,175,1
Other,Residential,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,Phone,291,0
Product Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",3+ Months,Bengaluru,Email,172,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,294,0
Dealership Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Trivandrum,WhatsApp,240,0
Other,Industrial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Phone,75,0
Other,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Pune,WhatsApp,330,1
Technical Support,Commercial,Commercial Services,"Below ₹10,000",3+ Months,Pune,Email,86,0
Bulk Order Inquiry,Residential,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,Phone,143,1
Dealership Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Pune,Phone,94,0
Product Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,WhatsApp,111,0
Other,Industrial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,WhatsApp,316,0
Other,Residential,Interior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Chennai,Phone,48,1
Bulk Order Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",Urgent (Within 1 Week),Trivandrum,Email,307,1
Bulk Order Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Chennai,Phone,112,1
Other,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,Phone,106,0
Bulk Order Inquiry,Residential,Maintenance Program,"Below ₹10,000",1-3 Months,Bengaluru,Email,342,0
General Feedback,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Coimbatore,Phone,143,1
Product Inquiry,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,WhatsApp,204,1
Product Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Pune,WhatsApp,252,0
Product Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-3 Months,Madurai,Phone,108,0
Bulk Order Inquiry,Residential,Professional Painting,"Below ₹10,000",1-4 Weeks,Bengaluru,WhatsApp,43,0
Dealership Inquiry,Industrial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Delhi,Email,283,1
Dealership Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,WhatsApp,129,0
Product Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",3+ Months,Chennai,WhatsApp,194,0
Product Inquiry,Industrial,Interior Solutions,"Below ₹10,000",1-4 Weeks,Trivandrum,WhatsApp,88,0
Product Inquiry,Residential,Professional Painting,"₹2,00,000 - ₹10,00,000",1-3 Months,Bengaluru,Email,181,1
Dealership Inquiry,Residential,Special Effects & Textures,"Above ₹10,00,000",1-4 Weeks,Chennai,Email,130,1
Dealership Inquiry,Industrial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Email,211,0
Product Inquiry,Residential,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Trivandrum,Email,120,0
Product Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,WhatsApp,336,0
Dealership Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Delhi,WhatsApp,206,0
General Feedback,Commercial,Commercial Services,"Below ₹10,000",3+ Months,Kochi,Email,77,0
Bulk Order Inquiry,Residential,Exterior Solutions,"Below ₹10,000",3+ Months,Pune,Email,272,0
General Feedback,Residential,Interior Solutions,"Below ₹10,000",1-4 Weeks,Mumbai,Email,178,0
Dealership Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Mumbai,Phone,278,1
Product Inquiry,Industrial,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Delhi,Email,127,0
General Feedback,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",3+ Months,Kochi,Phone,150,0
Product Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",3+ Months,Madurai,Email,166,0
Bulk Order Inquiry,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Chennai,Email,333,1
Other,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Kochi,WhatsApp,257,0
Bulk Order Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,Email,325,0
Product Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Hyderabad,Email,86,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Mumbai,WhatsApp,52,1
General Feedback,Industrial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,WhatsApp,277,2
Product Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,WhatsApp,56,1
Other,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,WhatsApp,81,0
Other,Commercial,Interior Solutions,"₹50,000 - ₹2,00,000",3+ Months,Kochi,WhatsApp,96,0
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Delhi,Email,74,0
Other,Industrial,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Madurai,WhatsApp,284,0
Product Inquiry,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,Phone,220,0
Product Inquiry,Industrial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Bengaluru,Phone,296,0
Bulk Order Inquiry,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Pune,WhatsApp,189,0
Other,Residential,Exterior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Bengaluru,Email,73,1
Technical Support,Residential,Professional Painting,"Below ₹10,000",3+ Months,Hyderabad,Email,79,0
Dealership Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Hyderabad,Phone,306,0
Other,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Chennai,Phone,217,0
Product Inquiry,Industrial,Interior Solutions,"Below ₹10,000",1-3 Months,Coimbatore,WhatsApp,306,0
Technical Support,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Trivandrum,WhatsApp,343,0
General Feedback,Residential,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Hyderabad,Email,196,0
General Feedback,Residential,Interior Solutions,"Above ₹10,00,000",1-3 Months,Hyderabad,Phone,64,1
Other,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Mumbai,WhatsApp,314,0
Dealership Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Pune,WhatsApp,161,1
Product Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Pune,Phone,327,0
Product Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Chennai,Phone,313,0
Other,Residential,Color Consultation,"₹2,00,000 - ₹10,00,000",3+ Months,Trivandrum,WhatsApp,203,1
Technical Support,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,WhatsApp,188,0
Bulk Order Inquiry,Industrial,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Chennai,Email,97,1
Dealership Inquiry,Commercial,Interior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Bengaluru,Phone,152,1
Product Inquiry,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,Email,153,0
Dealership Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Delhi,Phone,84,0
Technical Support,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",3+ Months,Coimbatore,Phone,224,0
Technical Support,Commercial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Trivandrum,Email,197,0
Product Inquiry,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Mumbai,WhatsApp,252,1
Other,Industrial,Commercial Services,"₹10,000 - ₹50,000",3+ Months,Bengaluru,Email,111,0
Product Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",3+ Months,Coimbatore,Email,211,0
Product Inquiry,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,Email,129,0
Product Inquiry,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,WhatsApp,291,1
Technical Support,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Hyderabad,Phone,53,0
Other,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Kochi,WhatsApp,187,1
Dealership Inquiry,Residential,Commercial Services,"Below ₹10,000",1-3 Months,Pune,WhatsApp,292,0
General Feedback,Industrial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Bengaluru,Phone,283,0
Dealership Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Mumbai,Phone,123,0
General Feedback,Commercial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,WhatsApp,67,0
Other,Industrial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,Email,311,0
Bulk Order Inquiry,Industrial,Interior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Pune,WhatsApp,125,1
Bulk Order Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",1-3 Months,Madurai,Phone,225,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Pune,Email,230,0
Product Inquiry,Industrial,Commercial Services,"Below ₹10,000",1-4 Weeks,Trivandrum,WhatsApp,136,0
Bulk Order Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Bengaluru,Email,253,0
Other,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,WhatsApp,225,0
Dealership Inquiry,Residential,Special Effects & Textures,"Above ₹10,00,000",Urgent (Within 1 Week),Bengaluru,Email,195,2
Product Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Mumbai,Email,197,0
General Feedback,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Coimbatore,Email,49,1
Product Inquiry,Residential,Exterior Solutions,"Below ₹10,000",1-3 Months,Bengaluru,Phone,343,0
Product Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Delhi,WhatsApp,89,0
Other,Residential,Maintenance Program,"Below ₹10,000",1-4 Weeks,Hyderabad,WhatsApp,86,0
Technical Support,Industrial,Commercial Services,"Below ₹10,000",1-4 Weeks,Bengaluru,Email,163,0
Bulk Order Inquiry,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,Email,138,1
Other,Industrial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Pune,WhatsApp,298,1
Dealership Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",3+ Months,Coimbatore,Email,132,0
Dealership Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Bengaluru,WhatsApp,200,0
Product Inquiry,Industrial,Color Consultation,"₹2,00,000 - ₹10,00,000",1-3 Months,Bengaluru,Phone,325,1
General Feedback,Industrial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Email,199,0
Dealership Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",3+ Months,Kochi,WhatsApp,136,0
Technical Support,Commercial,Exterior Solutions,"Below ₹10,000",1-3 Months,Trivandrum,WhatsApp,93,0
Dealership Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Mumbai,Email,342,0
